DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
10 Minute Solution Cardio Hip Hop|Anchor Bay||Out|2.0|LBX, 16:9|14.98|NR|2012|Exercise|1.78:1|013132548791|2012-12-04 00:00:00|234357|2013-11-21 00:00:00|1
10 Minute Solution: Best Belly Blasters (Susan G. Komen Edition)|Anchor Bay||Out|2.0|LBX, 16:9|14.98|NR|2011|Exercise|1.78:1|013132372990|2011-09-27 00:00:00|224800|2013-11-21 00:00:00|1
10 Minute Solution: Target Toning|Anchor Bay||Out|2.0|4:3|9.98|NR|2004|Exercise|1.33:1|013131281798|2004-09-21 00:00:00|47811|2013-11-21 00:00:00|1
100 Degrees Below Zero|Asylum Home Entertainment||Out|2.0|LBX, 16:9|14.95|NR|2013|SciFi|1.78:1|686340291447|2013-11-19 00:00:00|251010|2013-11-19 00:00:00|1
100 Degrees Below Zero (Blu-ray)|Asylum Home Entertainment||Out|2.0|LBX, 16:9, BLU-RAY|14.95|NR|2013|SciFi|1.78:1|686340291553|2013-11-19 00:00:00|251060|2013-11-19 00:00:00|1
100 Degrees Below Zero (Dist. by Gaiam)|Asylum Home Entertainment||Out|2.0|LBX, 16:9|14.93|NR|2013|SciFi|1.78:1|018713607652|2013-11-19 00:00:00|251062|2013-11-19 00:00:00|1
100 Degrees Below Zero (Dist. by Gaiam/ Blu-ray)|Asylum Home Entertainment||Out|2.0|LBX, 16:9, BLU-RAY|14.93|NR|2013|SciFi|1.78:1|018713607669|2013-11-19 00:00:00|251032|2013-11-19 00:00:00|1
12 Movie Pack: Sci-Fi Action Pack (3-Disc): Mega Shark Vs. Giant Octopus / Mega Piranha / Beneath Lochness / ...|Echo Bridge||Discontinued|2.0|LBX, 16:9|19.99|VAR|VAR|SciFi|VAR|096009722791|2011-09-06 00:00:00|211795|2013-11-21 00:00:00|1
17 & Life: Jail Bait|Asylum Home Entertainment|2014-02-18 00:00:00|Pending|2.0|LBX, 16:9|14.93|NR|2013|Suspense/Thriller|1.85:1|018713611703|2014-02-18 00:00:00|256116|2013-11-20 00:00:00|0
17 & Life: Jail Bait (Blu-ray)|Asylum Home Entertainment|2014-02-18 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|19.93|NR|2013|Suspense/Thriller|1.85:1|018713611710|2014-02-18 00:00:00|256122|2013-11-20 00:00:00|0
2 Guns|Universal||Out|5.1|LBX, 16:9|29.98|R|2013|Action/Adventure|2.35:1|025192167768|2013-11-19 00:00:00|253043|2013-11-19 00:00:00|1
2 Guns (DVD & Blu-ray Combo w/ Digital Copy)|Universal||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|34.98|R|2013|Action/Adventure|2.35:1|025192167782|2013-11-19 00:00:00|253018|2013-11-19 00:00:00|1
2 Ready 2 Die|Asylum Home Entertainment|2014-03-18 00:00:00|Pending|2.0|LBX, 16:9|14.93|NR|2014|Action/Adventure|1.85:1|018713612724|2014-03-18 00:00:00|256186|2013-11-21 00:00:00|0
22 Bullets|New Video|2014-02-11 00:00:00|Pending|SUB|LBX, 16:9|29.95|NR|2010|Foreign|2.35:1|025192219573|2014-02-11 00:00:00|256045|2013-11-21 00:00:00|1
