DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
10 American Horror Stories, Vol. 2: Bay Coven / Grave Secrets: The Legacy Of Hilltop Drive / Midnight's Child / Hurt / ...|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Horror|1.33:1|096009265946|2014-09-09 00:00:00|266546|2014-09-09 00:00:00|1
10 Movies For The Whole Family: Huckleberry Finn (1975) / Fury: The King Of The Wild Stallions / The Proud Rebel / ...|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Family|1.33:1|096009303044|2014-09-09 00:00:00|266534|2014-09-09 00:00:00|1
10-Film Action Pack, Vol. 6: The President's Man / The President's Man 2: A Line In The Sand / Logan's War: Bound By Honor / ...|Echo Bridge||Out|2.0|VAR|14.99|NR|VAR|Action/Adventure|VAR|096009264949|2014-09-09 00:00:00|266510|2014-09-09 00:00:00|1
10-Film Explosive Action, Vol. 7: Ed McBain's 87th Precinct: Ice / A Father's Revenge / The Sweeper / The Spy Killer / ...|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|VAR|1.33:1|096009265144|2014-09-09 00:00:00|266493|2014-09-09 00:00:00|1
10-Film Extreme Fighting Collector's Set: Fist Of Honor / Maximum Cage Fighting / East L.A. Warriors / Forced To Kill / ...|Echo Bridge||Out|2.0|4:3|14.99|VAR|VAR|Action/Adventure|1.33:1|096009301842|2014-09-09 00:00:00|266475|2014-09-09 00:00:00|1
10-Movie Action Pack, Vol. 12: Once A Thief (1996) / Once A Thief: Family Business / Once A Thief: Brother Against Brother / ...|Echo Bridge||Out|2.0|4:3|14.99|VAR|VAR|Action/Adventure|1.33:1|096009302542|2014-09-09 00:00:00|266463|2014-09-09 00:00:00|1
10-Movie Action Pack, Vol. 4: Infinite Justice: The President's Plane Is Missing / Spenser: The Judas Goat / Ice / Booster / ...|Echo Bridge||Out|2.0|VAR|14.99|VAR|VAR|Action/Adventure|VAR|096009203344|2014-09-09 00:00:00|266525|2014-09-09 00:00:00|1
10-Movie America's Favorite Country Stars: Is There Life Out There? / Baron And The Kid / Crazy / ...|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Drama|1.33:1|096009302948|2014-09-09 00:00:00|266504|2014-09-09 00:00:00|1
10-Movie Family Adventure Collection, Vol. 4: Wind Dancer / Young Pioneers / Castle Rock / Long Road Home / ...|Echo Bridge||Out|2.0|4:3|14.99|VAR|VAR|Family|1.33:1|096009303242|2014-09-09 00:00:00|266542|2014-09-09 00:00:00|1
10-Movie Family Adventure Collection, Vol. 5|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Family|1.33:1|096009303143|2014-09-09 00:00:00|266484|2014-09-09 00:00:00|1
10-Movie Fantasy Adventure, Vol. 1|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Fantasy|1.33:1|096009302344|2014-09-09 00:00:00|267197|2014-09-09 00:00:00|1
16-Love|Viva Pictures||Out|2.0|4:3|14.93|PG|2012|Family|1.33:1|816943010439|2014-08-28 00:00:00|269700|2014-09-09 00:00:00|0
3 Scream Queens|Rapid Heart Pictures|2015-01-27 00:00:00|Pending|2.0|LBX, 16:9|14.98|NR|2004|Horror|1.78:1|733159716002|2015-01-27 00:00:00|269649|2014-09-09 00:00:00|0
4 Unforgettable Horror Movies: Hellraiser / Children Of The Corn (1984) / Re-Animator / Never Sleep Again|Image||Out|VAR|LBX, 16:9|19.98|VAR|VAR|Horror|VAR|014381001389|2014-09-09 00:00:00|267134|2014-09-09 00:00:00|1
6 Pack Of Horror: Lovely Molly / Airborne / ChromeSkull: Laid To Rest 2 / Barricade / Madison County / Frankenstein Theory|Image||Out|5.1|LBX, 16:9|19.98|VAR|VAR|Horror|VAR|014381001402|2014-09-09 00:00:00|267133|2014-09-09 00:00:00|1
6-Film Fantasy Adventure Collection: Blackbeard / Journey To The Center Of The Earth (2008) / Poseidon Adventure (2005) / ...|Echo Bridge||Out|2.0|VAR|14.99|NR|VAR|Action/Adventure|VAR|096009366544|2014-09-09 00:00:00|266480|2014-09-09 00:00:00|1
6-Movie Backwoods Butchers|Echo Bridge|2014-11-18 00:00:00|Pending|2.0|4:3|14.99|NR|VAR|Horror|1.33:1|096009329143|2014-11-18 00:00:00|269663|2014-09-09 00:00:00|0
6-Movie Mutant Creatures|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|SciFi|1.33:1|096009325145|2014-09-09 00:00:00|266571|2014-09-09 00:00:00|1
7-Movie Spirit Of The North Film Collection|Echo Bridge||Out|2.0|4:3|14.99|NR|VAR|Family|1.33:1|096009371142|2014-09-09 00:00:00|266462|2014-09-09 00:00:00|1
9-Film Action Pack|Echo Bridge|2014-11-18 00:00:00|Pending|2.0|4:3|14.99|NR|VAR|Action/Adventure|1.33:1|096009367244|2014-11-18 00:00:00|269691|2014-09-09 00:00:00|0
A-Team (2010/ Blu-ray)|Fox||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|14.99|PG-13|2010|Action/Adventure|2.35:1|024543970460|2014-09-09 00:00:00|267663|2014-09-09 00:00:00|1
Across 110th Street (Kino Lorber Studio Classics)|Kino Lorber Studio Classics||Out|2.0|LBX, 16:9|19.95|R|1972|Action/Adventure|1.85:1|738329138127|2014-09-09 00:00:00|267448|2014-09-09 00:00:00|1
